,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Salvador,40,BR,1566829817,69,-12.98,-38.48,80.6,13.87
373,Pontes e Lacerda,58,BR,1566830028,32,-15.23,-59.33,93.3,7.52
374,Alta Floresta,0,BR,1566829985,52,-9.87,-56.08,87.8,2.24
375,Vanimo,100,PG,1566830031,78,-2.67,141.3,81.06,5.44
376,Oranjemund,0,ZA,1566830032,84,-28.55,16.43,56.94,22.35
377,Mhlambanyatsi,0,SZ,1566830033,16,-26.45,31.02,72.6,7.67
378,Wheatley,1,CA,1566830035,73,42.09,-82.46,73.0,17.22
379,Springdale,40,US,1566829826,100,36.19,-94.13,79.0,6.93
380,Mitsamiouli,75,KM,1566830037,78,-11.38,43.28,77.0,6.93
381,Weinan,90,CN,1566830038,100,34.5,109.46,66.2,4.47
382,Eureka,1,US,1566830040,93,40.8,-124.16,53.6,6.98
383,Dalvik,0,SE,1566830041,39,57.79,14.13,82.99,8.05
384,Khandyga,0,RU,1566830042,53,62.65,135.58,56.04,12.03
385,Sobolevo,0,RU,1566829931,71,54.43,31.9,69.9,3.96
386,Vanavara,21,RU,1566830044,89,60.35,102.28,48.12,4.99
387,Khor,0,RU,1566830045,93,47.88,134.96,56.94,4.38
388,Ayagoz,0,KZ,1566830047,32,47.96,80.43,69.72,10.96
389,Moshenskoye,100,RU,1566830048,72,58.52,34.59,64.32,8.08
390,Enid,1,US,1566830049,100,36.4,-97.88,82.0,11.41
391,Kurilsk,0,RU,1566830051,85,45.23,147.88,55.68,8.79
392,Parangan,94,PH,1566830052,75,5.08,119.94,83.58,5.79
393,Vryheid,0,ZA,1566830053,8,-27.77,30.79,78.54,2.15
394,Maple Creek,9,CA,1566830054,53,49.91,-109.46,58.02,17.98
395,Boyolangu,90,ID,1566830056,86,-8.09,111.9,70.26,5.88
396,Saint Pete Beach,90,US,1566830057,74,27.73,-82.74,89.01,6.93
397,Isangel,46,VU,1566830058,71,-19.55,169.27,71.7,9.71
398,Leningradskiy,100,RU,1566829996,91,69.38,178.42,47.94,3.02
399,San Quintin,81,PH,1566830060,93,17.54,120.52,76.38,3.04
400,At-Bashi,0,KG,1566830062,28,41.17,75.81,57.66,0.89
401,Sao Joao da Barra,40,BR,1566829998,69,-21.64,-41.05,73.4,10.29
402,Honiara,75,SB,1566830064,100,-9.43,159.96,75.2,3.36
403,Barranca,78,PE,1566830065,87,-10.75,-77.76,58.92,11.43
404,Olpad,75,IN,1566830067,88,21.34,72.75,80.6,3.36
405,Moose Factory,1,CA,1566829938,68,51.26,-80.61,69.8,6.93
406,Ahuimanu,90,US,1566830069,94,21.44,-157.84,80.6,3.36
407,Jijiga,0,ET,1566830070,73,9.35,42.8,66.3,9.06
408,Joetsu,0,JP,1566830071,69,37.15,138.24,76.02,11.45
409,Sechura,3,PE,1566830072,90,-5.56,-80.82,61.08,8.48
410,Gizo,0,IL,1566830074,55,31.8,34.94,89.01,12.75
411,Coos Bay,1,US,1566830075,93,43.37,-124.22,55.0,17.96
412,High Level,90,CA,1566830019,100,58.52,-117.13,51.8,6.93
413,George,75,MW,1566830077,42,-15.35,34.83,84.2,9.17
414,Qaqortoq,20,GL,1566830079,50,60.72,-46.03,51.8,4.7
415,Alghero,0,IT,1566830080,62,40.56,8.32,86.0,10.29
416,Faya,40,SA,1566830081,44,18.39,42.45,82.4,9.17
417,Huarmey,100,PE,1566830082,89,-10.07,-78.15,59.1,8.93
418,San Andres,100,PH,1566830084,90,13.32,122.68,76.92,6.2
419,Kinshasa,75,CD,1566830085,69,-4.32,15.31,78.8,4.7
420,Qianjiang,80,CN,1566830086,90,30.43,112.89,79.26,5.57
421,Muroto,100,JP,1566830087,87,33.37,134.14,69.18,0.56
422,Manzanillo,30,MX,1566830089,75,19.05,-104.32,83.76,8.23
423,Atambua,0,ID,1566830090,77,-9.11,124.89,73.86,10.58
424,Henties Bay,0,NA,1566830091,77,-22.12,14.28,64.0,15.99
425,Flagstaff,1,US,1566829888,63,35.2,-111.65,78.01,6.93
426,Tadine,100,NC,1566830093,77,-21.55,167.88,69.72,16.15
427,Sioux Lookout,90,CA,1566829934,93,50.1,-91.92,60.8,12.75
428,Salinopolis,77,BR,1566830095,78,-0.61,-47.36,81.06,20.07
429,Aloleng,38,PH,1566830097,80,16.13,119.78,83.58,6.73
430,Pauini,67,BR,1566829961,39,-7.71,-67.0,96.54,0.92
431,Tiznit,81,MA,1566830099,87,29.7,-9.73,67.38,4.79
432,Fushan,13,CN,1566830100,96,32.67,118.71,77.28,10.96
433,Tuy Hoa,99,VN,1566829989,78,13.08,109.3,78.0,6.06
434,Guerrero Negro,0,MX,1566830103,93,27.97,-114.04,70.8,7.2
435,Amga,41,RU,1566830104,87,60.89,131.98,51.0,4.47
436,Mogadishu,75,SO,1566830051,69,2.04,45.34,78.8,16.11
437,Malaya Serdoba,0,RU,1566830106,57,52.47,44.96,64.68,3.69
438,Lerwick,75,GB,1566830108,93,60.15,-1.15,62.6,4.7
439,Corum,40,TR,1566830109,19,38.8,29.89,90.0,13.87
440,Cachoeira do Sul,100,BR,1566830110,62,-30.05,-52.89,67.38,3.42
441,Pacasmayo,100,PE,1566830111,90,-7.4,-79.57,59.46,11.72
442,Mackay,20,CA,1566830113,87,53.65,-115.58,44.6,5.82
443,Yerbogachen,61,RU,1566830114,67,61.28,108.01,56.04,5.1
444,Challapata,0,BO,1566830115,18,-18.9,-66.78,43.62,2.24
445,Cabo San Lucas,90,MX,1566829848,69,22.89,-109.91,81.0,11.16
446,Krasnokamensk,48,RU,1566830117,86,50.1,118.04,51.54,3.38
447,Kostroma,0,RU,1566830118,68,57.77,40.93,64.4,6.71
448,Sisimiut,74,GL,1566829864,68,66.94,-53.67,43.44,3.67
449,Hobyo,100,SO,1566830121,69,5.35,48.53,79.8,28.92
450,Iquitos,75,PE,1566830122,319,-3.75,-73.25,42.8,2.24
451,Marawi,100,PH,1566830123,93,8.0,124.29,75.99,2.86
452,Hay River,75,CA,1566830125,100,60.82,-115.79,48.2,2.24
453,Scarborough,0,GB,1566829937,37,54.28,-0.41,88.0,9.17
454,Boda,100,CF,1566830127,77,4.32,17.47,78.54,3.6
455,Santo Andre,94,BR,1566830128,63,-0.91,-46.86,85.38,6.64
456,Mina,100,PH,1566830129,86,10.93,122.57,75.66,3.6
457,Guarapari,75,BR,1566830131,94,-20.67,-40.5,68.0,8.05
458,Rio Pomba,90,BR,1566830132,77,-21.28,-43.18,75.0,8.05
459,Frontera,5,MX,1566830133,69,18.53,-92.64,82.4,11.48
460,Kichera,100,RU,1566830134,93,55.93,110.1,47.04,3.31
461,Sambava,90,MG,1566830136,84,-14.27,50.17,67.38,2.46
462,Almaznyy,0,RU,1566830137,27,48.03,40.04,86.0,13.42
463,Wuwei,100,CN,1566830138,45,37.93,102.64,73.99,8.66
464,Badou,34,TG,1566830139,69,7.58,0.61,81.78,6.24
465,Port-Gentil,90,GA,1566830140,83,-0.72,8.78,78.8,10.29
466,Poya,0,NC,1566830142,74,-21.35,165.16,67.38,6.64
467,Thinadhoo,62,MV,1566830143,77,0.53,72.93,82.68,9.57
468,Paka,80,CF,1566830144,62,4.15,15.03,79.62,3.49
469,Torrijos,90,ES,1566830145,93,39.98,-4.28,84.0,3.36
470,Kosum Phisai,75,TH,1566830147,88,16.25,103.07,80.6,2.24
471,Villa Constitucion,44,AR,1566830148,77,-33.23,-60.33,66.99,8.05
472,Reforma,75,MX,1566830149,100,24.02,-104.65,64.0,8.3
473,Namatanai,89,PG,1566830150,82,-3.66,152.44,78.72,8.55
474,Yumen,56,CN,1566830025,18,40.29,97.04,75.3,17.72
475,Hofn,90,IS,1566830152,93,64.25,-15.21,53.6,24.16
476,Urucui,0,BR,1566830154,21,-7.23,-44.56,93.84,12.3
477,Bendigo,18,AU,1566830155,45,-36.76,144.28,41.0,3.49
478,Cururupu,55,BR,1566830156,54,-1.82,-44.87,87.0,8.59
479,Batemans Bay,0,AU,1566830157,88,-35.71,150.18,42.01,5.01
480,Bandarbeyla,62,SO,1566830158,38,9.49,50.81,90.06,18.3
481,Tohana,100,IN,1566830160,72,29.71,75.9,84.3,6.78
482,Parral,90,CL,1566830161,100,-36.14,-71.82,55.0,9.17
483,Zhaodong,75,CN,1566830162,94,46.07,125.99,69.8,6.71
484,Kawalu,100,ID,1566830163,94,-7.38,108.21,66.84,2.86
485,Baijiantan,0,CN,1566830164,18,45.63,85.18,76.74,8.25
486,Kodinsk,41,RU,1566830166,80,58.6,99.18,49.02,4.23
487,Nome,75,US,1566830006,78,30.04,-94.42,87.8,5.82
488,Long,0,FR,1566830168,43,50.04,1.98,95.0,5.82
489,Piltene,0,LV,1566830169,53,57.23,21.67,75.2,4.7
490,Seoul,75,KR,1566829896,94,37.57,126.98,78.8,1.12
491,Totonicapan,90,GT,1566830171,78,14.92,-91.37,80.6,3.67
492,Santa Cruz de la Palma,75,ES,1566830172,73,28.68,-17.76,79.0,14.99
493,General Pico,45,AR,1566830174,58,-35.66,-63.75,68.28,8.41
494,Kavaratti,100,IN,1566830175,79,10.57,72.64,81.42,24.96
495,Arman,90,RU,1566829917,92,59.7,150.17,44.16,2.21
496,Sept-Iles,20,CA,1566830177,49,50.2,-66.38,70.0,4.7
497,Great Yarmouth,0,GB,1566830179,31,52.61,1.73,91.99,9.17
498,Illapel,0,CL,1566829932,47,-31.63,-71.17,65.4,9.22
499,Hualmay,78,PE,1566829995,87,-11.1,-77.61,58.92,11.43
500,Saurimo,0,AO,1566830182,25,-9.66,20.4,87.8,4.72
501,Kudahuvadhoo,34,MV,1566830183,77,2.67,72.89,83.04,8.16
502,Mahon,40,IE,1566830185,72,51.89,-8.4,69.01,11.41
503,Emba,20,CY,1566830186,70,34.81,32.42,87.8,13.87
504,Doha,0,QA,1566829893,60,25.29,51.53,104.0,9.17
505,Saint Anthony,1,US,1566830188,65,43.97,-111.68,54.0,5.82
506,Cortez,1,US,1566830189,48,37.35,-108.58,73.0,3.36
507,Gat,91,SN,1566830191,82,14.69,-16.54,79.98,13.49
508,Aksu,0,KZ,1566830192,38,52.04,76.93,77.0,11.18
509,Veraval,0,FR,1566830193,31,49.65,0.71,91.0,3.36
510,Pochutla,90,MX,1566830194,83,15.74,-96.47,79.0,2.8
511,Warah,0,PK,1566830196,20,31.27,70.84,104.64,1.66
512,Havelock,75,US,1566830197,69,34.88,-76.9,80.01,13.87
513,Ipameri,0,BR,1566830069,29,-17.72,-48.16,85.38,10.85
514,Danville,1,US,1566830199,87,37.82,-122.0,64.99,3.11
515,Colares,20,PT,1566830201,53,38.8,-9.45,78.8,9.17
516,Massaguet,75,TD,1566830202,74,12.48,15.44,82.4,3.36
517,Aklavik,75,CA,1566830038,87,68.22,-135.01,44.6,4.7
518,Merauke,96,ID,1566830204,83,-8.49,140.4,76.02,22.12
519,Buxton,37,AU,1566830205,87,-25.19,152.54,59.0,1.43
520,Qasigiannguit,20,GL,1566830206,56,68.82,-51.19,44.6,5.82
521,Yar-Sale,100,RU,1566829975,68,66.83,70.83,41.64,5.3
522,Panzhihua,0,CN,1566830208,70,26.59,101.72,71.16,1.28
523,Charters Towers,0,AU,1566830210,78,-20.07,146.27,60.0,8.66
524,Kikwit,15,CD,1566830211,38,-5.04,18.82,88.98,5.28
525,Nago,0,IT,1566830212,43,45.88,10.89,89.01,8.05
526,Kilindoni,13,TZ,1566830213,82,-7.91,39.67,77.1,15.82
527,Nouadhibou,40,MR,1566830197,74,20.93,-17.03,80.6,13.87
528,Bucksport,90,US,1566830215,73,33.66,-79.1,79.0,8.05
529,Nizwa,75,OM,1566830217,22,22.93,57.53,93.12,8.97
530,Juneau,90,US,1566830218,87,58.3,-134.42,51.8,8.05
531,Gazalkent,0,UZ,1566830219,25,41.57,69.78,89.6,6.93
532,Alofi,90,NU,1566829969,73,-19.06,-169.92,71.6,10.29
533,Matsusaka,20,JP,1566830222,69,34.59,136.54,77.0,10.29
534,Sarandi,0,BR,1566830223,59,-27.94,-52.92,60.8,18.34
535,Port Macquarie,75,AU,1566830004,93,-31.43,152.91,55.99,2.48
536,Carutapera,67,BR,1566830225,62,-1.2,-46.02,85.56,11.74
537,Beloha,0,MG,1566830226,38,-25.17,45.06,75.66,7.56
538,Hearst,91,CA,1566830227,62,49.69,-83.67,67.56,9.26
539,Maltahohe,0,NA,1566830229,7,-24.83,16.98,75.48,20.71
540,Pisco,90,PE,1566830230,30,-13.71,-76.2,71.6,4.7
541,Adrar,40,DZ,1566829986,7,27.87,-0.29,111.2,13.87
542,Ponta Delgada,40,PT,1566830233,73,37.73,-25.67,75.2,12.75
543,Minsk,0,BY,1566830234,47,53.9,27.56,77.0,4.47
544,Port Moresby,90,PG,1566830235,94,-9.47,147.16,73.4,20.8
545,The Valley,40,AI,1566829994,66,18.22,-63.06,90.0,11.41
546,Valle Nacional,14,MX,1566830237,52,25.06,-104.49,76.02,1.41
547,Rio Grande,20,BR,1566830162,87,-32.03,-52.1,63.0,7.58
548,Morant Bay,20,JM,1566830240,55,17.88,-76.41,89.6,21.92
549,Kabalo,67,CD,1566830241,31,-6.05,26.92,91.32,3.11
550,Chhaprauli,75,IN,1566830242,63,29.21,77.17,93.2,6.93
551,Soyo,75,AO,1566830244,74,-6.13,12.37,78.8,6.93
552,Praia da Vitoria,75,PT,1566830245,73,38.73,-27.07,73.4,2.89
553,Vila,20,IT,1566830246,43,45.18,8.4,93.0,8.05
554,Palmer,20,AU,1566830178,81,-34.85,139.16,46.0,4.7
555,Sabzevar,0,IR,1566830248,10,36.21,57.68,93.2,16.11
556,Mujiayingzi,0,CN,1566830250,79,42.12,118.78,57.12,6.85
557,Selizharovo,100,RU,1566830251,71,56.86,33.45,66.48,5.93
558,Saint-Pierre,0,FR,1566830252,27,48.95,4.24,91.99,3.36
559,Giddalur,100,IN,1566829957,59,15.38,78.93,83.22,7.02
560,Hovd,0,NO,1566830018,68,63.83,10.7,73.4,4.7
561,Sampit,79,ID,1566830256,97,-2.54,112.95,73.5,2.59
562,Manadhoo,100,MV,1566830257,76,5.77,73.38,82.86,8.93
563,Tateyama,31,JP,1566830258,84,36.66,137.31,73.0,1.99
564,Miraflores,0,PE,1566830259,5,-16.39,-71.52,68.0,5.82
565,Luwuk,89,ID,1566830260,95,-0.95,122.79,59.82,5.93
566,Ranong,20,TH,1566830262,94,9.96,98.62,78.8,4.7
567,Nyurba,74,RU,1566830263,69,63.29,118.35,56.04,1.72
568,Ferrandina,20,IT,1566830174,59,40.5,16.45,93.2,6.93
569,Banda,79,IN,1566830265,72,28.24,80.11,84.48,3.02
570,Gwembe,75,ZM,1566830266,39,-16.5,27.61,77.64,9.64
571,Saint-Augustin,20,CA,1566830268,68,45.63,-73.98,70.0,6.93
572,Barra Patuca,50,HN,1566829990,76,15.8,-84.28,83.22,11.59
573,Vardo,1,US,1566829988,68,39.62,-77.74,71.01,9.17
